reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt
gp:AOqpTOE-x8qInKHPziOoYeteIw3mVP89dRa9t5LQANGZwPV143kN0-1CJLCXopGhlCNbHdpLkNMunA3H8kP8fQ,george tyrrell,https://play-lh.googleusercontent.com/-iW2xK-9XOWU/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuck-AuIxnDItvJt6G5iwfJArtez0JA/photo.jpg,Cannot fault the service in any way,5,0,,2020-08-25 17:16:03,"This is great to hear, thanks george! - Katie",2020-08-26 21:30:32
gp:AOqpTOF3qBAK44NdARHjuqVPKsQXwUAw33scwxBrpspoV1gZoPN05YhnO4gjPbNEbtvaooUDuAh1THJkUgDw-A,Julie Brown,https://play-lh.googleusercontent.com/-DwH3PWwtiXk/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucktJiszYbJ_-2gYW_71ODWI5sgw1g/photo.jpg,"Absolutely useless, scanned one barcode the it refused to scan two other items, not worth the time it took & still never got the medication, dont bother!",1,1,,2020-08-25 02:12:31,"Hi Julie, thank you for your review and feedback. I'm sorry you've had issues with scanning your medication barcodes, if this doesn't work you can also add these by searching for their name. I will pass on this feedback so the engineers are aware of any possible issues. Many thanks, Katie",2020-08-26 16:42:53
gp:AOqpTOFLD0CPmWYNjxXmlPn407ndBVpglgd3dGvUsdHTEYoQoHux9Ly26D6L5uhNRtG1VXc5kg01S8JAxtFYCQ,Lee russell,https://play-lh.googleusercontent.com/-GnfNlvev8Ps/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckZujyQz6qM1QzFyD6nY9ny3zLCxQ/photo.jpg,The app is efficient but my surgery are not members.,5,0,4.31.0,2020-08-24 15:29:20,"Hi Lee, thanks for leaving us this review. I'm sorry that you have been told your surgery is not part of Echo, if they issue electronic prescription then you should still be able to use our service. For further advice please contact us on help@echo.co.uk, via the in-app chat, or on 020 8068 8067. I hope this helps! - Katie",2020-08-26 21:27:43
gp:AOqpTOHxZN13DRWPbml7jbWaKTkh4t2LtwQNgbtwwsj3opJICc5r0BOBmJJtd-lp5-DKylUvne-HzBzHjo4Zyg,Michael Simpson,https://play-lh.googleusercontent.com/--dy9bmDX1H8/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucl__iXeNDDkRsUQErdOe9qZtovESw/photo.jpg,"Decided to review this again as I was told that the stock issues were due to tech issues and have now been resolved. Well it would appear that this is not the case as I have meds out of stock, the expected date will be 26th, nearly a week after I have run out. Not good news when you have a medical condition. Will seriously consider returning to Boots the Chemist after this",1,1,,2020-08-23 01:54:06,"Hi Michael, thanks for your further feedback here. I'm sorry that you're still having stock issues. I'd be happy to check this for you and to what's causing the delay. Please message via the in app chat, or via help@echo.co.uk and we'll be able to help. You can also ask to release your meds for local collection in the ""Help"" section. Thanks, Katie",2020-08-26 16:38:05
gp:AOqpTOEAK2OSrwQtl4rH3Dub3vbYRwBy5HG_Gu5Q0FDA6tITTaUpNqdMEQ43HeeysJyCqvUx5wSecYX9yGLOiw,Fiona Quinn,https://lh3.googleusercontent.com/a-/AOh14GhAvHq4Mr1NZh-u1dZARd1NnU3SUf-QOyQw-KsLkw,"The Echo App by Lloyd's Pharmacy is great. Very easy to use and reliable. It offers medication advice, from which medication to take and when through to essential reminders of which medications are running out and need repeat prescriptions ordering. All medications are posted using Royal Mail track and trace and arrive 48 hours after posting. Refrigerated medications are no problem and get packed in cool packs keeping them cold in transit. I highly recommend Echo by Lloyd's Pharmacy.",5,5,4.31.0,2020-08-23 00:55:12,Thank you so much for taking the time to write us this review and share your thoughts here Fiona. I'm so pleased to hear that you think so highly of our service and recommend us to others too! Many thanks and take care - Katie,2020-08-26 21:25:40
gp:AOqpTOHPoDwlelME0YApy3j0S-fHWLjRn5uwgQFjYeXncvRPaXUFIT75pSYQSAJ1cJyzG0wTF5_MKb6msvUpuQ,Derek Comrie,https://lh3.googleusercontent.com/-venUVQwDBpI/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuck9JLn0v8SNgTFzQ9fK3BE6GrgIJg/photo.jpg,"Convmient and quick, thanks",5,0,14.6.4,2020-08-22 18:24:49,"No problem at all Derek, thanks for the review! - Katie",2020-08-26 21:23:43
gp:AOqpTOHgrSmWro45c9FNCnK5r_YbsvC0zvJxhQnF0IvR5YrbtCC99C0ODKRH_ybg1L8qo6muoetFQZWO58TZLw,Lisa Osborne,https://lh3.googleusercontent.com/a-/AOh14Gg8vIaUAuEAockC7j6Xq0l-tgiQK-qhiWlLPawVuQ,"Very easy way to order your drugs and those of your loved ones to the address of your choice. Easy set up with your surgery. Works brilliantly, never going back to picking them up from the pharmacy!",5,0,4.31.0,2020-08-22 16:59:24,Thank you so much for taking the time to write us this review Lisa. Take care - Katie,2020-08-26 21:23:27
gp:AOqpTOHsIH51RHiObrzFYS9tVR31R0Uq2VTCaExKJx2Tnk4ao4JmGqXsPj0QCNiWX6wqH6ywytTe36mdJ_otZw,Cath Thomas,https://play-lh.googleusercontent.com/-TWOVR2TIprU/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnzsOWrdAiAEj43DMEy1Ty8Te3A9g/photo.jpg,"Fast delivery, but received another text for prescription only 1 week after receiving the meds.",4,0,,2020-08-22 06:56:45,"Hi Cath, thanks for you review. It sounds like your reminders might not be in sync. This could be because you've previously collected your meds locally, or it might be a take-when-required drug, or it might have not updated correctly. Please contact us on help@echo.co.uk or via the in app chat so our team can check this for you! Thanks, Katie",2020-08-26 18:41:09
gp:AOqpTOEsqM_FIlev3IKzYhOf4P2YYxAa-s82pPSryfWUVw1lXVtJPn8TYJR-Eumi1meteB7B8oAHR5BkZH82mw,Margaret Chapman,https://lh3.googleusercontent.com/a-/AOh14Gir7-dwXfgDhKCYRqCPXGY-XNY1fM-w_CpjFWxhpg,"Rang on Tuesday for prescriptions, arrived first thing We'd morning. Thanks so much.",5,0,4.31.0,2020-08-22 04:47:59,"No problem at all, thanks for your review Margaret! - Katie",2020-08-26 21:22:06
gp:AOqpTOG40wlqimozurHDcKBj3gQBNd3MKkoHaJpupXH2GjD2tgl6Me_EBJ0tDizZN-jDqFA51O6gFGKtiA7yXg,Kal-El 87,https://lh3.googleusercontent.com/a-/AOh14GgHep9Pg824iX5kn_wtSMgc_f8MnGPtP8RGDPM3,All I can say is wow! Registered to get prescriptions delivered and tried to use echo as nominated pharmacy but apparently they can't find me on the NHS system which is silly I used exact details I used with my gp. Pos uninstalled,1,1,4.31.0,2020-08-22 04:13:43,"Hi there, thank you for your review and feedback here. I'm sorry we haven't been able to sync your account with your NHS details. If you know your NHS number then please send this over to our patient care team via help@echo.co.uk or via the in app chat and we should be able to sync this for you. I hope this helps, Katie",2020-08-26 16:32:35
gp:AOqpTOEYue1uRnWQ0BmB-0IGYyP4ZV7vcwLumLMTLJgppWGXUoXkQWWjTYr45JnjtWW6JYsEsGIhvKDOmXFhJg,Rosemarie Webster,https://play-lh.googleusercontent.com/-3LESR90HF28/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclcsIpgERIsCFwAaS3UHvsfUvjVdQ/photo.jpg,Items arrived ok but items on my account but not yet needed arrived also. After I moved my account elsewhere .I still keep getting reminders my medication is running low .even though I have told them I am no longer with them....annoying,4,0,,2020-08-21 17:31:27,"Hi Rosemarie, thanks for this review and feedback. I'm sorry you're still getting reminder notifications despite not using our service anymore. This may be as your account hasn't been deleted. If you're able to log into your account, you will be able to delete your account by going to ""Help"" and ""Delete my account"". I hope this helps, Katie",2020-08-26 17:02:33
gp:AOqpTOEH_yYYEv_I_2Hc9yxLdRzz3tf1Ml-BNwOoUBnzeW2qWIouqerao2re6nhn-1YG_17ulV3BalZe-F_IBA,Abhishek Bagga,https://lh3.googleusercontent.com/a-/AOh14GgshWM8KA5e1J7ekesywFAtdMgwaK3a3x_wO0r1Kw,This app saved my time and is a god send during lockdown situation. So easy to order and always delivered on time.,5,0,4.30.0,2020-08-21 14:46:48,We're so pleased that we've been able to save you time and help support people during this difficult period. Thank you for your review Abhishek! - Katie,2020-08-26 21:21:35
gp:AOqpTOF47yXpoGUTiZh_VPHnwgjKFybjYsOocDNteOJTZyNGP_W0w6XkgxXpSvedCTAiVjjaJM4J3HN6YHYcVw,Debbie Roberts,https://lh3.googleusercontent.com/-lH8G8KWmx10/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucktYaR5qJl_avYp2bAmEW5InCj7fg/photo.jpg,Terrible. Wouldn't even give it 1 star. Tried to order my medication this evening & apparently I no longer exist!!!,1,1,4.30.0,2020-08-21 04:39:55,"Hi Debbie, thank you for your review here and I'm sorry you've had issues here. It's difficult to know what may have caused this, it might be that your account may be registered under a different email address? Please give us a call on 020 8068 8067 or email us on help@echo.co.uk, we would be happy to help! Many thanks, Katie",2020-08-26 16:26:54
gp:AOqpTOGlNmgFN5kBdgnYnociNZa6RpJ2Ui9RPfou7aEoBuhz-UEu5HtjbOfxVfEY8Gjwxg02ffc-E6g0XedhKA,williams kalu,https://play-lh.googleusercontent.com/-rF1ocpEHruQ/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclzfEBMtsPAE9CPH9VhpKSnLsBFHw/photo.jpg,Punctuality,5,0,4.31.0,2020-08-20 17:10:44,Thanks for your review williams kalu! - Katie,2020-08-26 21:20:47
gp:AOqpTOG1K8qerG-Nzwk1qHtZU_0-ciR2zpH4NS3dQ8mdDX0lQxZs3C145rzjYCjMeiL71KSuTo1RHK43HGEwmA,dawn harmison,https://play-lh.googleusercontent.com/-NiEZe2YNbZ8/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckUMrqe0HUZJ9SSVJgX6Fry1JLq2Q/photo.jpg,Very good and great letting me know I need to request next prescription plus getting it delivered to my house.,5,0,4.20.0,2020-08-20 14:48:05,"Thank you for your review Dawn, it's great to hear you're finding our reminder function particularly useful! - Katie",2020-08-26 21:20:26
gp:AOqpTOFet5UjoFx8cDPXG2PY0_tgO7l1oAs5DyCGOdBaerdf_qySda-GrXS6C_iX3qK1kHo7u5zWxCkiBJbMGg,wizz _elite,https://lh3.googleusercontent.com/a-/AOh14Gid20gJjQAS-q_edlZ92lziI-BtRhrHJZOc3neiEDo,Really easy to eat up and use and so much more convenient than visiting doctors surgery and pharmacy.,5,0,,2020-08-20 14:13:50,"Hi wizz_elite, thank you so much for your review. We're delighted that we've been able to make things more convenient for you! Thank you for your review - Katie",2020-08-26 21:10:58
gp:AOqpTOG8rWo5FLX458cCoG4UVaYmO4WhMi8-9ZkZ3dhyPYpqzPyR5FDduoRrc2amM6v0Uly63hWYoevP-IbxVw,Lee Downes,https://lh3.googleusercontent.com/a-/AOh14Giq_6bpcrEwuJoKd1ADfM8melfeCJFl67EDE2iDcA,It's stupid. It says that you have to be over the age if 16 to use the service. What about the people under the age of 16 who cannot have their medication delivered.,1,0,,2020-08-20 07:35:28,"Hi Lee, thanks for your review and feedback here. Under 16s can be added as another patient to an adult's account so that they too can have their medication delivered. I hope this helps, Katie",2020-08-26 16:39:32
gp:AOqpTOHa4VYBNQP33vg5Wa8MHPyPF_Dxf5agbU3Nr5GFMDvhBPumqE67rR6f95DH-R4gxXgtSstsntSx_ScLRw,Ian Maguire,https://lh3.googleusercontent.com/a-/AOh14Giug4WGDb8W8_ZLFCh9v42dwaAWLUxz8ANSoOWLmT8,Used to be 5* now only 1* because despite many of their rival companies allowing ordering and delivery of controlled drug medication Echo still will not allow controlled drug medication. Especially in times like we are living now to help social distancing and isolating patients delivery of ALL medication should be a number 1 priority for any pharmacy company that wants to be taken seriously!! I work for the NHS and because of this big problem I never recommend Echo to any patients anymore!!,1,1,4.31.0,2020-08-19 19:48:01,"Hi Ian, thanks for your review, I'm sorry that we're not able to provide this service for all controlled drugs at this moment in time. This is something we're looking into and hope for in the future. I'm sorry I can't give more certain info on this now, if you'd like to be kept informed please let us know on feedback@echo.co.uk. Thanks, Katie",2020-08-19 20:37:57
gp:AOqpTOGFIuX4TFhEw8a-bArdcZgLv1YqYf7MHgbGnrBMEDOya5rkWopQyzK4rlCVaxcMVF9Bfj0-9OviZtPq-w,Lisa Millns,https://lh3.googleusercontent.com/a-/AOh14GicVrjCC1Q9j06NXXtvdNtAXjQRMR5UeMoehQQ74w,"Sent prescription to wrong address. It took 3 days to get a reply and then told me to make contact with the occupant of that address! No one has rechecked my details, despite you delivering to my address previously. I had to get an emergency prescription because of your cockup. Its as if it ran by infants.",1,1,4.30.0,2020-08-19 19:00:44,"Hi Lisa, this doesn't sound right at all. When you place an order we will always ask you to confirm your address to avoid this situation. I am sorry for our delay in getting back to you, we have had a high amount of patient contact recently, but I can see that my colleague is dealing with this issue for you now. I hope this helps, Katie",2020-08-19 20:46:09
gp:AOqpTOH_SjHhJ5AbdoLFDfRVkCdcPweS4jyJtWCugXTjpt6kRTBsuNq-gcP0okX8Ed7eAkkHiv5J5uwH7RoVYw,Alan Murphy,https://lh3.googleusercontent.com/a-/AOh14Gj_OWXN4xoFKdemFzFkAaMOcpf7tr9OO1tyALcV,"WARNING - do not even try and look at the App unless you want your health to suffer. I put in 2 pieces of information - address and doctors surgery. The day before I'd ordered a prescription. The App asks for what medication you use and I didnt have my list so left it be. Now my prescription has been sent to Echo rather than the pharmacy, so the medication I need to live is in the ether somewhere. Not showing in the app and doctor refusing to reissue! AVOID",1,3,4.30.0,2020-08-19 03:01:01,"Hi Alan, this doesn't seem right, you will need to have clicked through an email to verify and activate your account. Once activated we're then set as your nominated pharmacy and your GP will be able to send your prescriptions through to us automatically. I'd like to look into this for you, so please do contact us on help@echo.co.uk. Thanks - Katie",2020-08-19 16:59:53
gp:AOqpTOE_Vqb4qFVbrhghhhnZrNrxu8J1-lP6ZcmeoX0UwwjseWubbhplJhmorU9ZtEefqT58DZbl-7fKHkcraw,Michael Simpson,https://play-lh.googleusercontent.com/-J2dFZsoU3EY/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuck9cDFr6mZgRT1ABHo-Znq1_cnDoA/photo.jpg,"Only been using it for a short time, every time I request my meds there's always something out of stock. I know that they will dispatch the in stock meds but as I am on regular meds for life it is a worry that it may not turn up in time. I waited 2 days before customer service replied to my message. Started using this to save me going to Boots chemist and I liked the feature to collect meds from a post office when away on holiday. Not tried that yet and feel concirned that might not work as well",4,1,4.30.0,2020-08-19 01:53:16,"Thank you for your review Michael, and I'm sorry for both our delayed response and your stock issues. We have had a high amount of contact recently and are working through these as quickly as possible. As for stock issues, we have had a delay due to a tech error recently, which has been resolved and shouldn't happen again. I hope this helps, Katie",2020-08-19 20:50:53
gp:AOqpTOEji99Zmk_8hkOUk3e2xfs1ceSuPmd9SneyZLmS6UADKtkeBzWzgtLCgdvkBjSDpfZJ-ASLDZZnObiZ7w,Dinkar Sabnis,https://lh3.googleusercontent.com/a-/AOh14Gh0DT5iRQwOpnRmY4FBSV1XuIrI3mVSPNfAoUhMzw,"Terrible service, given up trying to get my prescription that is 'stuck' their end whatever that means, even though they say it's in stock and just needs to be sent out. Over 2 weeks since ordering, my current prescription has run out. I won't be using them again.",1,1,4.30.0,2020-08-18 22:45:00,"Hi Dinkar, I'm really sorry to hear that you have had this issue. We've recently switched systems and this has delayed a small amount of orders. All I can do is apologise for this delay, but I assure you we are working to get these sorted as quickly as possible. If necessary please call NHS111 to request an emergency prescription. Thanks - Katie",2020-08-19 16:53:58
gp:AOqpTOEGKJsqViKVU8vTHKG_m-cKB1mE8wiNNS9crziN8atJtqDE6IKuDRqJGS4kDGVOrJeA9EeLOm4y5d919w,Karli Fitzsimons,https://lh3.googleusercontent.com/-UZp3S5em4jk/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmJVdtV_iJpG19J2Smloyr3pEia3Q/photo.jpg,The idea is really good. Just can't get in touch with anyone about payment I have set up my debit card but I don't know how to pay for my prescription I dont want to end up with a fine.,4,0,4.30.0,2020-08-17 23:23:21,"Hi Karli, thank you for your review here and sorry you've not been able to get in touch. You can do so via the in-app chat, help@echo.co.uk or on 020 8068 8067. In regards to payment, once we have received your prescription you should receive an email prompting you to put your payment through. I hope this helps - Katie",2020-08-19 18:12:38
gp:AOqpTOE7wrcItATYSX-95nzPkjqRRlWuc-WhTJObvsVomT0WImCKF4-2wgqlP1sHgshnnXA1N8UQ5hsH4f5j1A,Aaron Longhurst-Fox,https://lh3.googleusercontent.com/a-/AOh14Gi24EOZTadeJcIoM72sPi-3o7ODHQZbXk9CsaW3,"Its a great idea, but bakewell medical centre dont have online prescription ordering because they are in the stone age :/ this app wont work at my GP",1,1,4.30.0,2020-08-17 20:15:21,"Hi Aaron, I'm really sorry that your GP can't issue electronic prescriptions, this is absolutely necessary to make using our service quick and easy. We can process paper prescriptions, but this takes a lot longer and is usually quicker to just collect your prescription locally if this is the case. Sorry for this inconvenience! - Katie",2020-08-19 16:51:00
gp:AOqpTOFZaq9BQc0yzjXgJnqymfzir5io6968lVHs9PrNJDuPccz18cP-iHTd6-_-JsTgIHPVZ9D8MkdvVXHLcw,nullNOVA,https://lh3.googleusercontent.com/a-/AOh14GjrnlS9MAsMBq981XGbsfYPUB-eIW19y-idN2re9w,"Me and my partner love this app! We have repeat prescriptions and picking them up from the pharmacy every time was a drag, but now with one click it's delivered to our door!",5,1,4.31.0,2020-08-17 17:08:18,"Thank you for your review, it's great to see that our service has been able to save you some time! Take care, Katie",2020-08-19 21:06:09
gp:AOqpTOG79gvSNdFghupYP0SOp0OWnw1kqu74jVxRxYTGnhTIllqop36qiVZPgDXFHNfjH5vXmrWU-8HsDKwgCw,Lee Clayton,https://play-lh.googleusercontent.com/-P4hk8wuSuS8/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnU3o_2lFXTuX59BHzUyJEJcbRtXg/photo.jpg,"Very helpful with Covid-19, keeps me and my family safe.",5,0,4.21.0,2020-08-17 14:31:43,"I'm glad we've been able to help during this time Lee! Take care, Katie",2020-08-19 21:06:37
gp:AOqpTOFrrwWad_lD_iKWDhK2Zrf3GazRUs_Lu3d02Mil1-wcnN3ruN5i1yZqBiIFf1GU1i5dtDiOc4NBdEp1Ig,Simon Gurney,https://lh3.googleusercontent.com/a-/AOh14GiM68Q1_BF607H7HCkRFyuAtHBzKrg9uAlgiRnFKw,"Takes all the hassle out of getting my meds, perfect.",5,0,4.30.0,2020-08-16 14:09:39,,
gp:AOqpTOEztGsQOevgKAQEktkdsY49OfZMWwpSxGAWjYL4jaObYirycOgOjzFomdEruoSW5NojFzoWATPwNxBnbg,Jo Loasby,https://lh3.googleusercontent.com/a-/AOh14GjcjeHDn50Fwr2tnvjXDLeXy18-QUCP19jIk3UucQ,So far so good! So much easier using Echo than trying to get meds under these trying times. Highly recommended,5,0,4.30.0,2020-08-16 12:53:29,,
gp:AOqpTOEouUUr3EjZK-0r29NJFUX4PIeNRuxNpYW9Liuj0HYz41h7tSAeaQy4dFoSwgClAEMj54jZQp9KNHlSLg,Brian Passingham,https://lh3.googleusercontent.com/-dZKC1DJK1Fs/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucm2VAUJHqBbeLDr7d2kSe4rto9oWA/photo.jpg,"Dreadful had problems with the shop, now having problems with online",1,0,,2020-08-16 10:30:48,,
gp:AOqpTOHKh4SrCz7Q2tzegcrRKxAif62iK_oIOEyEqZTkC65E1_wKicdNAygtScFlOprsowxc8e7Ko5FlWq233A,Jamie Thompson,https://lh3.googleusercontent.com/a-/AOh14GjVd6qrPZvV7EH8tX6YCZcXSljd1UZi0g7WoD8lnA,"Used to be amazing ,now? Dreadful, been waiting for weeks for my new tablets. Now they're out of my system thanks to this. Deleting my account",1,0,4.30.0,2020-08-16 10:16:46,,
gp:AOqpTOFus9CGGVwzDmu0VRVGdHdpx244HOGoiToG5Fcw7VBAPVtClG4TNDX-brnThm8fOftQ5_DmAoxcV5ef0w,Starrygems,https://lh3.googleusercontent.com/a-/AOh14Gg-mrKBggsfL-NxN4GYTTq5bB223x2sK6inEaJn0Q,Fast good service,5,0,4.30.0,2020-08-15 21:43:22,,
gp:AOqpTOGST8nM-Bd7-T0jZ_J6736PGsRTOrIkUgD_1uxrx2FrXTSE8NxGXkdixkh3HKbYPwcscVU_LmJnXx_1pg,Jessamyn Davidson,https://lh3.googleusercontent.com/-RGFs_jjmWRA/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucneQabRLz7q-v_UzE0z00WySaH_9g/photo.jpg,My medication is always made up and delivered on time. Thank you,5,0,4.20.0,2020-08-15 20:07:24,,
gp:AOqpTOE0GNNmUvf8eqtdkKZ_Ai96LZV0Jv_OT2gpBSisblj-Zpcyq_CzjrBIRGMZ8xzylVFgv0BfNP_KsBo_ZA,Jaypee Brazier,https://lh3.googleusercontent.com/-d47zfao6NJ4/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmXm68KejZooCedKF8kAHxJ5_njxw/photo.jpg,Very easy to use.,5,0,,2020-08-15 19:48:23,,
gp:AOqpTOH71JOgK9cvyRzzsiS_cpmQFMH69EGjzSj4sfS_OOd8Q9zAfF3kzxhS80QjKPM6yt_4DTadJ6uwaiRtoA,michael james,https://lh3.googleusercontent.com/-s-YwoU0wuZs/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclN6Jn-HAVFQUYGKE7BWdOHXwM1kw/photo.jpg,"Not built with user in mind every time i log in it says user and password not recognised have to change password, thiers no option to leave a note for the pharmacist, appart from that the actual ordering is easy and efficent",1,0,4.30.0,2020-08-15 16:23:25,,
gp:AOqpTOEuS7omaCDPy4J7Bxq78aAZHWoFHnJIZKvxk0FgjKJV-EWvgqOZBjDWG-Mpr3JFZHd4efJI27qDxNHFwQ,david Helicon,https://lh3.googleusercontent.com/-fGjQroS79MQ/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmHKuaHwW7HanRv-CUQlsqVpLm2tw/photo.jpg,Good,5,0,4.30.0,2020-08-15 11:22:07,,
gp:AOqpTOEQtsX98ZcDDrMffqvdNsMwoeeI-fwDsPP_VCPzf9Sk_oDDfy_DXhHTBLU3BXJNT1Djb0mqoGSTRKS2EQ,Dawn Morrison,https://lh3.googleusercontent.com/-uVuCkkNz-vM/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucl23AOikR_VuBg_cXoY85vd2et_Tg/photo.jpg,It is good to know when my prescription is being made up and when it is leaving and when it is arriving. Easiest way to get medication if you are disabled.,5,0,,2020-08-15 10:31:40,,
gp:AOqpTOEc1DvVSZKbuY7Jpe4lUebXJ71wbj1Z3QHnmfR1pYYUrJHHflB-v040pJzGNqpeRHeRZq7tzTt_Qjo3XA,Sarah Bore,https://lh3.googleusercontent.com/-UOtAa8dDL-g/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnLf7fXpcJdbl1k-SQS870GXRrkvg/photo.jpg,Easy and efficient to use. Reminders useful and informative.,5,0,,2020-08-15 08:21:38,,
