review,stock_logistics,delivery_logistics,customer_service,app_functionality,service_functionality,locational_constraints,rating,version,type
"Nightmare I joined Echo at start of CV my first repeat prescription arrived wrong. They send double of one tablet but none of the other. I’ve now not had that tablet for 3 weeks. They keep emailing me to say they are waiting for my Dr to release prescription. I contacted my GP surgery they say that echo have had my prescription since 17th March. I can’t contact echo and GP surgery say I’m not due for any more until May, noone seem to be interested. I wish I’d never heard of Echo. I just don’t know what else to do 😡",0,0,1,0,1,0,1,4.17.0,apple
"Too confusing I receive so many messages from Echo, they are in closer contact than my family.
Echo seems to be terribly confused about my simple medicine regimen. I often  wonder if I am two clients. However, there is no way I have discovered to straighten out the confusion. 
I don’t know why an App exists, when I am instructed to send messages instead.
My surgery doesn’t know how Echo works.
I just hope I’m lucky whenever my next meds are due.",0,0,0,0,1,0,2,4.17.0,apple
Will not verify my email I have tried before today to do this and again today five times. When you press verify it will not open web page. Exhausted given up trying with no help last time and the same again,0,0,0,1,0,0,1,4.17.0,apple
"App doesn’t work Well I keep getting f errors when trying to login using my nhs credentials. I’ve deleted the app and reinstalled and still get the same error.
So I have to use the website instead.",0,0,0,1,0,0,1,4.17.0,apple
"Requests App is good but impossible to actually talk to people.

Email - bot replies.
Phone - hangs up on you...

I am waiting for several items - 1 is out of stock but they won’t send any.

So no heart medication...

Can I contact them - not a chance ....",1,0,1,1,0,0,2,14.6.5,apple
"Probably the most confusing prescription service App design and function seems good, but the lack of clarity is awful. Had emails sent to me conflicting what is shown in the app, the help robot just tells you what you already know and the help phone number auto hangs up on you after about 3 mins. 
Appreciate this is probably a busy time, but should sort something out. 
I now have no medication for this month and the GP won’t give me any because prescription has already been issued to Echo.",0,0,1,0,1,0,1,14.6.5,apple
"Problems ios App has issues on ios , judder, non scrolling of certain pages, cant completely see part of app? Needs addressing asap have reported but no fix to date!",0,0,0,1,0,0,2,14.6.5,apple
Impossible to get hold of I’ve been trying since last week for my repeat prescription and have now run out. It is impossible to contact them by phone or message and I appreciate they are busy but maybe they shouldn’t be taking on new customers if they can’t cope?,0,0,1,0,0,0,1,14.6.5,apple
Terrible Confusing information given.  Didn’t have half my medicines and couldn’t give solid dates as to when they would have them.  No way to call them to discuss by telephone.  I finally had to cancel with them and bother my GP Surgery to sort out Echo’s mess and reorder from my old walk-in pharmacy that I should’ve stayed with in the first place!,0,0,1,0,0,0,1,14.6.5,apple
Poor Rubbish Service Don’t use these people signed up over a week ago and put my repeats in and no notifications no text message only same old boring status these people worse service ever I’m diabetic and this is way they treat people appalling,0,0,0,1,1,0,1,14.6.5,apple
"No customer service Dreadful company, phone line cuts off and no response online chat for over 48 hours! Avoid this company",0,0,1,0,0,0,1,4.16.1,apple
Echo It is awful. Very hard to use and no way of adding necessary medicine.,0,0,0,0,1,0,1,4.16.1,apple
Starting with echo I have spent most of morning trying to set up it won’t allow me to put in DOB so cannot go forward thought this would be the way to go being over 70 with the current Coronavirus issue??  How can I get past this problem? There is no customer service help line that I can see,0,0,1,0,1,0,1,4.16.0,apple
Can’t register as the dates are not displayed in IOS Waste of time. Can’t even register,0,0,0,1,0,0,1,4.16.0,apple
Date of birth Impossible to enter your date of birth and therefore useless...unless you are born on 14/03/2003 that is,0,0,0,1,0,0,1,4.16.0,apple
Fall down the cracks Not as reliable as other services eg Boots for long term medication. Suddenly stopped ordering medication with no reason or alerts,0,0,0,1,0,0,1,4.16.0,apple
Echo Ordered my prescription but never got any further so ended up going without medication for a week,0,1,0,0,0,0,1,4.16.0,apple
"Not Good App is very easy to use and the first couple of times I got my meds very quickly, past 2 months it’s been useless - stuff is always out of stock or they just do not explain why my order is incomplete. Time to source another provider.",1,1,0,0,0,0,1,4.15.0,apple
George Churchill I get charged by Lloyd they changed their policy very bad to sign u up then charge geo,0,0,0,0,0,0,1,4.15.0,apple
"Epanutin What has happened to you contacting me to get prescription sorted. As from today Friday, I have no epanutin, and very low on metformin. 
I normally receive email from you to order prescription, but this time nothing. 
I have not had any epanutin to take this morning. 
It now leaves me short of my tablets. 
Regards
Colon Rimmer",1,1,0,0,0,0,1,4.15.0,apple
"Waste of time Don’t even bother, first time using the app and I’ve been left without meds despite ordering them in plenty of time. And now I can’t even order them through my gp and the apps customer service is a joke",0,1,1,0,0,0,1,4.15.0,apple
"Inconsistent and Unreliable. Not even worth the 2 star, but have to put it to leave a review...
Last few months have been stressful using this company and app. Medication being delivered at last minute right before running out, even though ordered at least 2 weeks before running out. (Because I don’t like leaving myself short of medication) 
Customer service is a joke, they repeat the same thing to you over and over again and are not helpful. 
Do not use this company if you are dependant on your medication. It’s not worth the hassle or stress.",0,0,1,0,0,0,1,4.15.0,apple
"Poor Service I was so excited to use this app, I’ve recently had some health troubles and now need to take a regular prescription. I thought it would be so much easier to use the app and have it delivered, rather than getting to the doctors and back when I have two small children to juggle too. 

Unfortunately my experience was not good. I requested my prescription when the app notified me it was due. I got notification to say my medicine was out of stock, so I contacted customer service, and they advised they would have stock shortly and then it would take 2-3 working days to arrive (incl Saturday as a working day). This meant that potentially my medicine would arrive just on time. 

Today I took my last pill and the medication still hasn’t arrived. I’ve emailed them to ask for a refund and to send my prescription back to the database so I can request it from my GP and so far no reply. 

I’m very disappointed",1,1,1,0,0,0,2,4.14.0,apple
Can’t change dob Trying to set up account for my son and won’t let me set the dob it keeps changing back to the default 14 Feb 2004 will not be using this app.,0,0,0,1,0,0,1,4.14.0,apple
"Disappointed I had heard good things about echo pharmacy so thought I’d give it a try. 

I ordered my medication around 7 days ago and it just says that they’re waiting for the GP to prescribe. No update on the app for two days. 

I contacted my surgery who said they haven’t even had a request for it. So I’ve had to request my px to be sent to the local pharmacy as it would leave me short if I waited for Echo.",0,1,0,0,0,0,1,4.14.0,apple
Unimpressed Unfortunately the service is sporadic at best. I end up having to collect various prescriptions myself as Echo seems to have supplier problems. I will be changing service after my next prescription is fulfilled.,1,0,0,0,1,0,1,4.14.0,apple
"DON’T USE THIS APP! It’s the 4th month in a row I haven’t received my medication. The excuses are either, they’re waiting on the GP or they’re out of stock. This service is supposed the make life easier especially as I’m disabled it’s not easy for me to chase my prescription with the GP, the pharmacy or Echo. I wouldn’t bother wasting your time with this service, it’s well below the standards they claim. When you call them they are rude and abrupt. I think they forget they are dealing with ill people. Not sure they’ve been trained on customer service. DON’T USE THIS APP!",1,1,1,0,0,0,1,4.14.0,apple
"Good idea, rubbish app Always crashing or not loading, get as far as payment then crashes again. It’s a great idea when it works but the app has never worked smoothly since I downloaded it.",0,0,0,1,0,0,1,4.13.1,apple
Echo had just one job... and failed Advertised as a 'delivery service' but always sent medication in rigid packaging that was too big for a standard letterbox. Despite numerous correspondence I quickly grew tired of having to traipse to my local Royal Mail collection office... especially as it was quicker to just collect my prescription from my local pharmacy. A great concept... but fatally flawed in its execution. I've given up on it.,0,1,0,1,0,0,1,4.13.1,apple
Echo app Tried downloading the app had a problem with verifying the app and was left with a blank white screen.,0,0,0,1,0,0,1,4.13.0,apple
Garbage Doesn’t work. When submit local surgery......it goes blank....crap. You cannot get past this point to use the app....suspect this is a data mining app. BEWARE!!!!!,0,0,0,1,0,0,1,4.13.0,apple
"App not working I managed to register and confirm my email address, but when I went back to the App, I got a blank screen.  I deleted the app and reinstalled, but still the same.  I tried to contact support via a link on an email to verify email address, but the link didn’t work.",0,0,0,1,0,0,1,4.13.0,apple
"Out of stock once again When you’re supposed to take insulin daily, you’d think they’d tell you if the medication was out of stock and the time frame they’d ship it to you. 

I used to use this app but now I remember why I stopped using it and switched to Pharmacy2U. 

Seriously this is super bad, the only good thing is , is you’re able to speak to love people and the UI is clean AF that’s why two stars 

You seriously need to sort tour stock issues out and offer a alternative because I requested my medication on the 17th of December and I still haven’t got it and ended up having to request it to get it myself from a local pharmacy. 

OFFER - A  - ALTERNATIVE if you think there’s going to be a long delay. Sorry I’m going back to PHARMACY2U",1,1,0,0,0,0,2,4.11.1,apple
"Gone downhill- Avoid Jan2020 update: this service has gone totally crap! The wait time is now around 4
Days which is totally stupid, why wait 4
Days for your meds! The response from the customer service is also really bad. 
It’s time to say goodbye to this rapidly failing service. Not sure who writes all these other reviews about this app, maybe they are using a different app to me???

This used to be great service. Now is awful customer response and awful slow delivery times don’t make it worth the trouble. 3 days it took to respond to chat query. Left on hold for 15 minutes then cut off!
There are to many others doing same role probably much better",0,1,1,1,0,0,1,4.11.1,apple
"Always out of stock I’ve been waiting for a prescription to be delivered for over a month. No proactive communication informing me when it will be next available.

A second prescription has also been out of stock for the past few days.

If you want a reliable and timely delivery, go elsewhere.",1,1,1,0,0,0,1,4.10.0,apple
"Don’t download if just to look Down loaded to look at just found out vital med I need today are now gonna take god know how long in the Xmas post  , I didn’t even put in any meds that need , the app auto steal straight from the dr 😡🤬

Stupid bloody service",0,0,0,1,0,0,1,4.10.0,apple
"Good app, useless pharmacy, avoid! The app is great and when the service works (see other users’ glowing reviews) it’s great and saves loads of time. I used echo myself for a few months (simple repeat prescription of one item) and also for my partner (more complicated prescription of five or six items, all widely used generic drugs though). 

Unfortunately if there’s any problem with your prescription things rapidly go off the rails... you can’t tell if there’s a problem from the app (your request just sits there for days with no update), Echo won’t contact you to tell you until you chase them, they won’t do anything to help, they take a day to reply to their email (office hours only), they don’t answer the phone at all, eventually when they do reply they just say “speak to your GP” as the answer to each and every issue, and before you know it you’ve spent a week going round in circles and you still don’t have your prescription. 

Avoid at all costs!",0,0,1,1,0,0,1,4.10.0,apple
"Was amazing now not so good! I download this when it was first up and running and it was just unbelievable! They couldn’t do anything more to make your experience any easier or to help! If you had a problem with medication or an issue with the prescription they would be able to help but unfortunately that has changed! I started using it again as I remember it being really really easy but OMG it has been hassle, after hassle, after hassle with delays for delivery’s, script turn arounds, me chasing the GP and finding that it’s not theirs fault it’s echos, loosing information etc! 

They need to make some changes ASAP and get it back to what it used to be like because it’s changed and not for the better unfortunately!",0,1,0,0,1,0,1,4.10.0,apple
No Amex No Messaging It works ok but crashes if you try to pay with Amex. Tried visa and it seemed to work.,0,0,0,1,1,0,2,4.10.0,apple
"Madness I can not believe how much money this must cost the NHS, I ordered 5 items, they are out of stock with 4 of them and I’m still waiting. I take 27 tables a day, I don’t want to but I need too. With this service I’ll be dead within a month. The next excuse will be Brexit ! Don’t believe it.",1,0,0,0,1,0,1,4.10.0,apple
"Boxes too big for letterbox I’ve been using Echo for the last several months. It’s a great idea, but perhaps they should rethink their postal boxes as they don’t fit through my letterbox, meaning a trip to collect it which complexly wipes out the whole point of using the service. Exho - please sort this out. Epic fail!!",0,1,0,0,0,0,1,4.10.0,apple
"Always out of stock, poor communication I have been using echo for a long time now and generally never had a problem, however each order for the last 4 times has not been in stock. Each time this happens you get one email and that’s it, no further update, nothing in the app, no option in the app to release it, or assign to another pharmacy, no indicator of stock on ordering, no proactive communication, no further updates, nothing.
When we are talking about daily critical medication and people with busy lifestyles personally I don’t think this is acceptable and they should do better. After 4 failed orders in a row for 4 months, I will not be using this app again. Time to find an alternative.
Undoubtably the response to this will probably be “we can release the order to you so that you can get it from a pharmacy of your choice”. That response is completely missing the point of what users want and need from this app.",1,0,1,0,0,0,2,4.9.0,apple
"So many things that aren’t right Where to start, you place an order and get confirmation. You get an email confirming dispatch. That’s about the best it gets - no way of knowing what’s been dispatched so the only time you know is when the box arrives with items missing. You need to speak to someone, but no telephone number and when you do find a telephone number by going through Lloyd’s Pharmacy, it tells you to send an email. They must have many issues, as waited 24 hours and still no response. Some of the medication for my mother is important and she must not run out, so you can imagine how frustrated I got. Then finally got through to a person who informed me that the balance of the order was posted in a separate box 2 days later and should hopefully be delivered within 48 hours. Still no way of seeing this through the website or on the App.",0,1,1,0,0,0,1,4.9.0,apple
"Awful! I’ve used this app previously and deleted it for a short while. 

I reinstalled a few days ago and tried to log in to my account but failed. I tried to register again but the app advises that I already have an account. I tried to reset my password but no email was received. 

I’m now 72 hours into their awful tech/customer support through social media and I’m told my account has been deleted (app says otherwise) but I can’t log in, reset password or re-register. 

Absolutely useless! Try one of the other apps (which come with customer service)!",0,0,1,1,0,0,1,4.8.0,apple
Used to be good This service used to send medication in boxes that fit thought letter box which was the whole point of using this service.... now they use boxes that don’t fit thought letter box so have to drive to post office to collect to defeats the point of the service !!!!! Plus a total waste of packaging,0,1,0,0,0,0,1,4.7.0,apple
"Started well I have been using Echo for over a year now.
They started off well - superb response times, fast turnaround and excellent customer service.

However, as they have grown in size, their response time has got worse, and customer service is becoming less personable.

The last major app redesign felt like a step backwards, the user interface is much less engaging and definitely less intuitive.

Also they have changed the charging now - your card is debited as soon as you place the order, whether the item is in stock or not. If there is an issue, they then have to process a refund.

Frustrated, I have just signed up with Pharmacy2U and am finding it much easier to use.

Such a shame.",0,0,1,0,1,0,1,4.7.0,apple
LIARS Medicine not ordered and lied to me saying 3 requests sent to my GP. I can see on the app that this is not true and my GP has not received any request this month. I have now run out of my medicine. Not good enough.,0,1,0,0,0,0,1,4.7.0,apple
"Great App - but the back office systems not so I used this service once, for one prescription. It was a disaster. In simple terms the electronic transfer of prescription from my GP to Echo worked perfectly. Associating that prescription with me, didn’t. In the end I had to get the prescription transferred back to me and get it dispensed the old fashioned way. The pharmacy who dispensed it were great. So as a result they will get my business going forward. I complained to Echo and they investigated, but their explanation still left me with concerns about their handling of my data.",0,0,0,0,0,0,2,4.6.1,apple
"Not impressed This app needs a lot of improvement 
1. The need to nominate echo as your pharmacy if you want them to deliver and to check the situation with EPS needs to be flagged up right at the start
2. Chat and contact are useless as it takes ages for reply and, when it comes the full reply is not readable only the first few words because it can’t load the conversation",0,0,1,0,1,0,2,4.6.1,apple
Rubbish Not happy at all I want cancel ho to do?,0,0,0,0,1,0,1,4.6.0,apple
"Bad job on your behalf I live in a flat and when the postman can’t gain access to my building I don’t get my medicine. I can’t go out.
And now I’m left with out medicine for 3 days. I might even cancel this service.",0,1,0,0,0,0,1,4.5.0,apple
Late medication I was told I would receive my medication by Friday 1st November as I was running out by then it’s my first time using this app and I’m not happy at all as I’ve now received a email stating I will receive my parcel on Monday but not promised was the wording I’m now left all weekend without my medication which is very important I take it and as it’s now Saturday my gp isn’t open I’m worried something going to happen to me over the weekend can anyone help please,0,1,0,0,0,0,1,4.5.0,apple
"Don’t expect help or Solutions I contacted them because I noticed my medication hadn’t been delivered. Their response was just “Royal Mail has marked it as delivered” no solutions no support just “not our problem” its in their terms and conditions that they will do this, take your money but not give support.
Turns out they’d sent it to the wrong address, I’d already contacted them to make sure they wouldn’t send it to the wrong address and they assured me it wouldn’t, well clearly they did. I used this to make my life easier when moving house but it seems like they actually made my life harder.

Thank you for just telling me over and over it’s not your fault and that there is no solution other than you taking my money and saying there is nothing you can do about it.
Also my order of the pill, I usually get a years worth from my pharmacist but these guys only sent me a months worth only. I won’t be using this service again, that’s for sure.",0,1,1,0,0,0,1,4.5.0,apple
"Disappointed Very disappointed - although it’s early days, so far it’s clumbersome, all over the place. Not as user-friendly as other pharmacies I’ve tried. Asked in chat for weekly tray of individual daily doses I’ve had before switching, no-one responded. Disabled people with chronic conditions such as myself truly could do without this stress...",0,0,1,0,0,0,1,4.4.4,apple
Avoid . You have to do most of the chasing .  They take too long to respond to any queries for something as important as prescription medicine . Basically all they do is post the meds.. not worth the hassle .,0,0,1,0,0,0,1,4.4.4,apple
Frequently late Frequently late and often uses boxes too big to go through the letterbox so you have to arrange Royal Mail redelivery (and I’ve moved house it’s not just one letterbox!),0,1,0,0,0,0,1,4.3.1,apple
"Bug Good software development catches potential edge cases. This doesn’t appear even catch the simpler ones. 

I mistyped an email address. I went to change it. It now tells me that there is an error in changing the email.",0,0,0,1,0,0,1,4.3.0,apple
17+ but actually 18+ Displayed as 17+ but won’t allow an under 18 to join. Annoying I went through signing up assuming I could do it and then to get told “oh actually no sorry” is just straight up confusing and a waste of time,0,0,0,1,0,0,2,4.2.1,apple
Disappointing Utterly rubbish service. Completely ignored being sent a prescription on 04/09. Had to request on app wait while they had GP reissue and then they sent meds in a box that was too big for my letterbox without informing me and it was returned to sorting office in city centre. Had to wait until next but before could collect but office opened and closed within my working hours. Had to wait until office open and I could get there to collect. You wouldn’t want to be ill to use this service....oh wait! I am.,0,1,0,0,0,0,1,4.1.3,apple
"Terrible service I put in a request for my medication 10 days before running out and received no notifications about the status of my ordered prescription, I had to phone my GP to check, I then wait patiently for my prescription to arrive and again receive no word, then it comes to the day I run out and I message the Echo team to find out what’s going on and they then check my prescription , only to tell me that it’s not in stock and they have had to cancel my order, now I am left with no medication and have to go back to my pharmacy. I will never waste my time with echo again . When it comes to prescriptions, it should be taken more seriously than this, be more organised and keep customers informed.",1,0,0,0,1,0,1,3.18.2,apple
Needs to be fixed I can only use the app when born in 2001 or earlier. I’m 16 and I need to use the app. Please make this work. As I can’t put in a fake date of born as the request will be denied,0,0,0,0,1,0,1,3.18.2,apple
Medical emergency Cancelled my prescription after making me wait 7 days when I ordered it 10 days before I ran out they say the supplier is out of stock so now I have 3 days of meds and if my local pharmacy has nothing I will have to go to my local walk in centre as I am an epileptic,1,0,0,0,0,0,1,3.18.2,apple
Everything went wrong The app gave me wrong info and I was told others were having same issue and an update was coming to fix it. The app allowed me to just keep on ordering even though I was waiting for the meds as had already ordered. One med was delivered and the app never changed to update that. After 20 days I chased and asked where the rest was. They said couldn’t get one but they just never told me. My exemption payment cert ran out as they didn’t keep me updated. After 22 days I gave up and cancelled and will now have to collect the medication from somewhere else. It’s a real shame as had high hopes. 5 to 10 days to get your meds clearly isn’t quite right and they don’t keep you informed about anything 😒,1,0,0,0,0,0,1,3.18.2,apple
"Brilliant app, rubbish pharmacy Used to be great, but then they changed the pharmacy used to dispatch orders. Since then they’ve failed to get meds to me on time twice. Switching provider.",0,1,0,0,0,0,2,3.18.2,apple
Waste of time I signed up yesterday I’ve had to put my exemption certificate in 4 times and each time I’m told I pressed the wrong button I checked every time even copied the wording on my card it’s the same so deleting the app,0,0,0,1,0,0,1,3.18.2,apple
"Nice app rubbish support After using this app for a while, I'm deleting my profile. My surgery is notorious for sending in paper prescriptions instead of electronic, echo are aware, I've written to the surgery and even spoken in person. Echo where always able to sort it out but not recently, just rubbish customer service.

It started out as my surgery (gp or nurse)need to talk to me they didn't, called and confirmed. Contacted echo and informed them to ask for an electronic one. one Aysha told me there's nothing they can do, even after asking how it was resolved previously. I was told to put in another request, which the app won't let me do as I have a pending request or or I have to pick it up. All Well and could if I could, but I can't pick up or request. 

Time to try the others, echo are no longer the lone players. Snooze you lose. Nobody has time for rubbish support for important things such as repeat medications.",0,0,0,0,1,0,2,3.18.2,apple
"Poor service On three occasions over the last 6 months I’ve had to chase my medication, each time with a similar excuse! 

This time my surgery / dispensary hadn’t authorized my medication. I contacted the dispensary the request had not been received! 

A service of this type should take away the stress of ordering your medication not create anxiety that the delivery will be missed! 

Account deleted!",1,0,0,0,0,0,1,3.18.2,apple
"Went months without getting my tablets on time The app was great, but then orders stopped working and would run out of tablets and the customer service would just blame it on my doctors. When it often was their own fault. Had to stop using app as every month the tablets would be late",1,0,1,0,0,0,2,3.18.2,apple
"Echo Having used the app for almost 6 months. I find it really easy to use. It's just a matter of ordering via the Echo App and the medication turns up on your doorstep. However, lately I have experienced delays in receiving my medication on time. I am not sure if this due to my GP or the app. However, I would appreciate if better turn around times could be available. 9 days and still waiting for medications... Now have run out.. Still waiting!!!!",1,1,0,0,0,0,2,3.18.2,apple
"Not all medications available The service will not deliver controlled drugs.

Helpfully you only find this out once you’ve registered and the app has sent its details to your GP surgery already.

Even the FAQs in the app don’t mention this. They just talk about the process for electronic/paper prescriptions relating to controlled drugs - odd if the service won’t deliver them.",0,0,0,0,1,0,1,3.18.2,apple
"Crucial lack of communication for daily medication When ordering medication that you take daily is it not necessary to be notified when there is a delay in the shipment to you? Or if you are having to order elsewhere and may take longer? The first time I used the service it was flawless and I even recommended it to my doctors so she could tell more people. HOWEVER, the last 2 times when placing an order they have failed to tell me that it is out of stock and that they are waiting a restock.. the date of which they have no idea. My first delayed order was still saying ‘processing’ after 9 days of ordering!! Both times I have had to contact customer services and ask what is happening to my order to be told they don’t have an expected date of arrival to which then I have to cancel my order await refund and reorder with my chemist. The whole point of this repeat prescription service is for people who are repeatedly taking medication. This is crucial information that NEEDS to be supplied and the lack of makes the app and the whole concept behind it completely and utterly useless.",1,1,0,0,1,0,2,3.18.2,apple
"Choose ANY OTHER prescription service but this I’ve had nothing but problems with prescriptions since joining, and terrible, slow customer service every single time I’ve had a problem. Not fit for people who are reliant on repeat prescriptions. Use Pharmacy2u or ask your GP for their recommended service.",0,0,1,0,0,0,1,3.18.2,apple
"Too many problems I had high hopes for this app but have generally found the whole process very slow and had to prompt them to send requests to the GP.  I have also been sent medication in packages too large for any post box, which they promise they don’t do.  If you have to collect from the depot then I would collect it from the chemist myself.  Also had medication out of stock which they haven’t then ordered in without me requesting this.  I will not be using them again.",1,1,0,0,0,0,1,3.18.2,apple
"Be very careful Created a new account and two tablets fell within two week ordering period, so I place an immediate request. 7 days later (5 working days) and no update to my request. I contacted Echo and was told they could not find my NHS record. All details I had supplied were correct. 1 star review because 1. No warning online that initial requests may take longer than 2 weeks to fulfil. 2. Frankly irresponsible of Echo to leave it knowing my medication would run out in 2 weeks without letting me know what was happening. I only found out when I asked. Consequently I cancelled the request as they could not be fulfilled in time and I will now cancel my account.",1,1,0,0,0,0,1,3.18.2,apple
"Appalling customer service Unfortunately can’t give 0 stars! I have a chronic condition which requires me to take regular daily medication. Living in a rural location where our local surgery has recently closed I thought this was the answer. How wrong I was! I always order my prescription in plenty of time, but Echo failed to request it from my GP resulting in me having to chase it up. When it was eventually processed I was told it had been dispatched only to receive another email a day later to say one of my vital meds was out of stock. What did Echo do? Cancel the whole order???? This is despite me asking them not to! Suffice to say I will not be using them again. Faceless company, appalling customer service who tell you blatant lies via the customer chat.",1,1,1,0,0,0,1,3.18.1,apple
Not available in Wales Really? England only. I will adjust my rating if I can try the app in Wales.,0,0,0,0,0,1,1,3.18.1,apple
Weeks of waiting Taking ages. Poor communication.,0,1,1,0,0,0,2,3.18.1,apple
